model,start,end,terminal,total_return,cagr,max_drawdown,mdd_start,mdd_bottom,mdd_recovery,mdd_duration,volatility,sharpe,sortino,calmar,average_exposure,trades
BuyHold,2014-07-11,2026-08-03,412392.9112671265,3.1239291126712647,0.1295433600529825,-0.45659296257350945,2015-06-12,2016-01-28,2021-05-10,1436,0.20652068092163797,0.6940878602236199,0.8169785883160392,0.283717382157695,1.0,0
V0,2014-07-11,2026-08-03,328888.33036913606,2.2888833036913607,0.10778256348055759,-0.2496513112245794,2015-12-22,2016-01-28,2018-02-22,528,0.14489458569328842,0.7794654596953794,0.8966154667163726,0.4317324149104884,0.7018417462482948,1678
V1,2014-07-11,2026-08-03,346914.8976780584,2.469148976780584,0.11287659552981477,-0.2293855237727609,2015-12-22,2016-01-28,2017-12-21,489,0.14187978204541146,0.825217191388593,0.9645858219609162,0.49208247178507725,0.704383886702725,377
V2,2014-07-11,2026-08-03,349405.5241587039,2.494055241587039,0.11356128967295276,-0.19752296729604824,2015-12-22,2016-01-28,2016-11-24,225,0.14379752009780622,0.8203673547650996,0.9707273460964229,0.5749270134381215,0.7142007302213474,93
V3,2014-07-11,2026-08-03,387277.15869892976,2.872771586989298,0.12345748211919094,-0.20526223228346974,2019-04-10,2020-03-23,2020-08-18,331,0.1595051672272117,0.8100985808115712,0.951435041054981,0.6014622404997262,0.805029352792504,11
