date,h00922,spread,s2_score,signal_used,nav,cash,shares,position,exposure,trade_action
2014-08-11,3254.45,0.7340999999999998,0.7728937728937729,,109431.43756508915,21415.437272549196,27.044815650122125,0.8,0.8043026962904382,NONE
2014-08-12,3257.77,0.7551999999999994,0.7956204379562044,,109521.22635304755,21415.437272549196,27.044815650122125,0.8,0.8044631348126491,NONE
2014-08-13,3264.39,0.7888000000000002,0.8254545454545454,,109700.26303265136,21415.437272549196,27.044815650122125,0.8,0.8047822614046507,NONE
2014-08-14,3238.84,0.8674,0.9130434782608696,,109009.26799279074,21415.437272549196,27.044815650122125,0.8,0.8035448025027974,NONE
2014-08-15,3265.52,0.8696000000000002,0.9133574007220217,,109730.823674336,21415.437272549196,27.044815650122125,0.8,0.8048366306252573,NONE
2014-08-18,3290.46,0.8400999999999996,0.8812949640287769,,110405.32137665004,21415.437272549196,27.044815650122125,0.8,0.8060289394974904,NONE
2014-08-19,3290.69,0.8079999999999998,0.8458781362007168,,110411.54168424958,21415.437272549196,27.044815650122125,0.8,0.8060398673374909,NONE
2014-08-20,3274.93,0.8460999999999999,0.8892857142857142,,109985.31538960364,21415.437272549196,27.044815650122125,0.8,0.8052882132793021,NONE
2014-08-21,3248.19,0.8607000000000005,0.9039145907473308,,109262.13701911939,21415.437272549196,27.044815650122125,0.8,0.8039994653518282,NONE
2014-08-22,3261.88,0.8369999999999997,0.8723404255319149,,109632.38054536955,21415.437272549196,27.044815650122125,0.8,0.8046613859334489,NONE
2014-08-25,3239.59,0.8580000000000005,0.901060070671378,,109029.55160452834,21415.437272549196,27.044815650122125,0.8,0.8035813505844066,NONE
2014-08-26,3208.34,0.8853,0.926056338028169,,108184.40111546202,21415.437272549196,27.044815650122125,0.8,0.8020469027721183,NONE
2014-08-27,3210.42,0.9036999999999996,0.9438596491228072,,108240.65433201427,21415.437272549196,27.044815650122125,0.8,0.8021497799998502,NONE
2014-08-28,3179.46,0.9410000000000008,0.951048951048951,,107403.34683948649,21415.437272549196,27.044815650122125,0.8,0.8006073562627949,NONE
2014-08-29,3220.52,0.8898999999999999,0.9198606271777005,,108513.8069700805,21415.437272549196,27.044815650122125,0.8,0.8026478116424957,NONE
2014-09-01,3255.14,0.8688000000000002,0.8993055555555556,0.9198606271777005,109450.09848788772,0.0,33.6237760857867,1.0,1.0,BUY
2014-09-02,3298.23,0.8065000000000007,0.8096885813148789,,110898.94699942427,0.0,33.6237760857867,1.0,1.0,NONE
2014-09-03,3323.07,0.7360999999999995,0.7379310344827587,,111734.16159739521,0.0,33.6237760857867,1.0,1.0,NONE
2014-09-04,3344.18,0.6888000000000005,0.6701030927835051,,112443.95951056617,0.0,33.6237760857867,1.0,1.0,NONE
2014-09-05,3369.66,0.6377000000000006,0.636986301369863,,113300.69332523202,0.0,33.6237760857867,1.0,1.0,NONE
2014-09-09,3379.61,0.6619999999999999,0.6518771331058021,,113635.2498972856,0.0,33.6237760857867,1.0,1.0,NONE
2014-09-10,3369.56,0.6429999999999998,0.6394557823129252,,113297.33094762344,0.0,33.6237760857867,1.0,1.0,NONE
2014-09-11,3359.04,0.6575999999999995,0.6474576271186441,,112943.60882320096,0.0,33.6237760857867,1.0,1.0,NONE
2014-09-12,3380.87,0.1765999999999996,0.1452702702702702,,113677.61585515368,0.0,33.6237760857867,1.0,1.0,NONE
